technique,persona,immediate_compliance,repeat_compliance,retaliation_probability
ad_hominem,brand_loyalist,0.4643,0.1339,0.0015
ad_hominem,conservative_base,0.4658,0.1346,0.0039
ad_hominem,disengaged_voter,0.4546,0.1296,0.0015
ad_hominem,impulse_buyer,0.4994,0.1497,0.0445
ad_hominem,issue_activist,0.4878,0.1445,0.0261
ad_hominem,liberal_base,0.4619,0.1329,0.0
ad_hominem,persuadable_moderate,0.4802,0.1411,0.0015
ad_hominem,price_hunter,0.4878,0.1445,0.0261
ad_hominem,skeptical_researcher,0.4815,0.1417,0.0241
ad_hominem,social_shopper,0.4862,0.1438,0.0
anchoring,brand_loyalist,0.4687,0.242,0.0
anchoring,conservative_base,0.4687,0.242,0.0
anchoring,disengaged_voter,0.463,0.239,0.0
anchoring,impulse_buyer,0.5155,0.2659,0.0
anchoring,issue_activist,0.4731,0.2445,0.0
anchoring,liberal_base,0.4687,0.242,0.0
anchoring,persuadable_moderate,0.4835,0.2498,0.0
anchoring,price_hunter,0.4731,0.2445,0.0
anchoring,skeptical_researcher,0.471,0.2433,0.0
anchoring,social_shopper,0.502,0.2592,0.0
appeal_to_ignorance,brand_loyalist,0.5069,0.1732,0.0
appeal_to_ignorance,conservative_base,0.5072,0.1734,0.0
appeal_to_ignorance,disengaged_voter,0.4922,0.1677,0.0
appeal_to_ignorance,impulse_buyer,0.5521,0.1917,0.0
appeal_to_ignorance,issue_activist,0.5303,0.1812,0.0
appeal_to_ignorance,liberal_base,0.5054,0.1725,0.0
appeal_to_ignorance,persuadable_moderate,0.5267,0.1811,0.0
appeal_to_ignorance,price_hunter,0.5303,0.1812,0.0
appeal_to_ignorance,skeptical_researcher,0.5264,0.1795,0.0
appeal_to_ignorance,social_shopper,0.5483,0.1893,0.0
appeal_to_pity,brand_loyalist,0.5219,0.1714,0.0
appeal_to_pity,conservative_base,0.5227,0.1718,0.0
appeal_to_pity,disengaged_voter,0.5119,0.1666,0.0
appeal_to_pity,impulse_buyer,0.5731,0.1957,0.0081
appeal_to_pity,issue_activist,0.5563,0.1878,0.0
appeal_to_pity,liberal_base,0.6123,0.2144,0.0
appeal_to_pity,persuadable_moderate,0.525,0.1728,0.0
appeal_to_pity,price_hunter,0.5172,0.1691,0.0
appeal_to_pity,skeptical_researcher,0.5107,0.166,0.0
appeal_to_pity,social_shopper,0.6328,0.2245,0.0
authority_endorsement,brand_loyalist,0.496,0.3144,0.0
authority_endorsement,conservative_base,0.533,0.3381,0.0
authority_endorsement,disengaged_voter,0.4995,0.3169,0.0
authority_endorsement,impulse_buyer,0.5648,0.3585,0.0
authority_endorsement,issue_activist,0.4948,0.3143,0.0
authority_endorsement,liberal_base,0.482,0.3056,0.0
authority_endorsement,persuadable_moderate,0.498,0.3155,0.0
authority_endorsement,price_hunter,0.4948,0.3143,0.0
authority_endorsement,skeptical_researcher,0.4912,0.3123,0.0
authority_endorsement,social_shopper,0.5219,0.331,0.0
bandwagon,brand_loyalist,0.5192,0.2166,0.0
bandwagon,conservative_base,0.5358,0.2263,0.0
bandwagon,disengaged_voter,0.5084,0.2103,0.0
bandwagon,impulse_buyer,0.6183,0.2747,0.0047
bandwagon,issue_activist,0.4629,0.1835,0.0
bandwagon,liberal_base,0.4817,0.1947,0.0
bandwagon,persuadable_moderate,0.4969,0.2033,0.0
bandwagon,price_hunter,0.461,0.1823,0.0
bandwagon,skeptical_researcher,0.4595,0.1818,0.0
bandwagon,social_shopper,0.5521,0.2358,0.0
bandwagon_pressure,brand_loyalist,0.5524,0.0757,0.0
bandwagon_pressure,conservative_base,0.5596,0.0802,0.0
bandwagon_pressure,disengaged_voter,0.5456,0.0715,0.0
bandwagon_pressure,impulse_buyer,0.6731,0.1488,0.016
bandwagon_pressure,issue_activist,0.4761,0.0295,0.0
bandwagon_pressure,liberal_base,0.5089,0.0493,0.0
bandwagon_pressure,persuadable_moderate,0.5125,0.0516,0.0
bandwagon_pressure,price_hunter,0.4705,0.0261,0.0
bandwagon_pressure,skeptical_researcher,0.4746,0.0286,0.0
bandwagon_pressure,social_shopper,0.5926,0.1,0.0
commitment_consistency,brand_loyalist,0.5297,0.2513,0.0
commitment_consistency,conservative_base,0.5297,0.2513,0.0
commitment_consistency,disengaged_voter,0.5236,0.248,0.0
commitment_consistency,impulse_buyer,0.592,0.2856,0.0
commitment_consistency,issue_activist,0.5208,0.2464,0.0
commitment_consistency,liberal_base,0.5262,0.2494,0.0
commitment_consistency,persuadable_moderate,0.5321,0.2527,0.0
commitment_consistency,price_hunter,0.5208,0.2464,0.0
commitment_consistency,skeptical_researcher,0.5144,0.2429,0.0
commitment_consistency,social_shopper,0.5769,0.2773,0.0
deceptive_information,brand_loyalist,0.5197,0.2981,0.0
deceptive_information,conservative_base,0.5214,0.2994,0.0
deceptive_information,disengaged_voter,0.5158,0.2952,0.0
deceptive_information,impulse_buyer,0.6197,0.3731,0.0
deceptive_information,issue_activist,0.4771,0.2661,0.0
deceptive_information,liberal_base,0.4912,0.2768,0.0
deceptive_information,persuadable_moderate,0.5034,0.2859,0.0
deceptive_information,price_hunter,0.4771,0.2661,0.0
deceptive_information,skeptical_researcher,0.4771,0.2661,0.0
deceptive_information,social_shopper,0.5602,0.3285,0.0
emotional_appeal_negative,brand_loyalist,0.4773,0.2208,0.0
emotional_appeal_negative,conservative_base,0.4773,0.2208,0.0
emotional_appeal_negative,disengaged_voter,0.467,0.216,0.0
emotional_appeal_negative,impulse_buyer,0.5158,0.2386,0.0
emotional_appeal_negative,issue_activist,0.5061,0.2341,0.0
emotional_appeal_negative,liberal_base,0.5664,0.262,0.0
emotional_appeal_negative,persuadable_moderate,0.4938,0.2284,0.0
emotional_appeal_negative,price_hunter,0.467,0.216,0.0
emotional_appeal_negative,skeptical_researcher,0.4607,0.2131,0.0
emotional_appeal_negative,social_shopper,0.5717,0.2644,0.0
emotional_appeal_positive,brand_loyalist,0.5828,0.3642,0.0
emotional_appeal_positive,conservative_base,0.5828,0.3642,0.0
emotional_appeal_positive,disengaged_voter,0.5776,0.361,0.0
emotional_appeal_positive,impulse_buyer,0.6569,0.4105,0.0
emotional_appeal_positive,issue_activist,0.5929,0.3706,0.0
emotional_appeal_positive,liberal_base,0.731,0.4569,0.0
emotional_appeal_positive,persuadable_moderate,0.592,0.37,0.0
emotional_appeal_positive,price_hunter,0.5334,0.3334,0.0
emotional_appeal_positive,skeptical_researcher,0.529,0.3306,0.0
emotional_appeal_positive,social_shopper,0.7473,0.4671,0.0
emotional_manipulation,brand_loyalist,0.4894,0.0,0.2209
emotional_manipulation,conservative_base,0.4924,0.0,0.2301
emotional_manipulation,disengaged_voter,0.4724,0.0,0.2209
emotional_manipulation,impulse_buyer,0.5202,0.0,0.303
emotional_manipulation,issue_activist,0.531,0.0,0.254
emotional_manipulation,liberal_base,0.5442,0.0,0.2193
emotional_manipulation,persuadable_moderate,0.4968,0.0,0.2209
emotional_manipulation,price_hunter,0.496,0.0,0.2209
emotional_manipulation,skeptical_researcher,0.5019,0.0,0.2521
emotional_manipulation,social_shopper,0.5444,0.0,0.1961
empathy_appeal,brand_loyalist,0.5507,0.2939,0.0
empathy_appeal,conservative_base,0.5507,0.2939,0.0
empathy_appeal,disengaged_voter,0.5428,0.2897,0.0
empathy_appeal,impulse_buyer,0.6167,0.3292,0.0
empathy_appeal,issue_activist,0.5642,0.3008,0.0
empathy_appeal,liberal_base,0.6664,0.3558,0.0
empathy_appeal,persuadable_moderate,0.5542,0.2958,0.0
empathy_appeal,price_hunter,0.5199,0.2772,0.0
empathy_appeal,skeptical_researcher,0.5137,0.2739,0.0
empathy_appeal,social_shopper,0.6795,0.3628,0.0
evidence_based,brand_loyalist,0.4827,0.3138,0.0
evidence_based,conservative_base,0.4827,0.3138,0.0
evidence_based,disengaged_voter,0.4816,0.3131,0.0
evidence_based,impulse_buyer,0.5423,0.3526,0.0
evidence_based,issue_activist,0.508,0.3301,0.0
evidence_based,liberal_base,0.4842,0.3148,0.0
evidence_based,persuadable_moderate,0.4958,0.3222,0.0
evidence_based,price_hunter,0.508,0.3301,0.0
evidence_based,skeptical_researcher,0.5086,0.3306,0.0
evidence_based,social_shopper,0.5225,0.3397,0.0
expert_testimony,brand_loyalist,0.4944,0.3008,0.0
expert_testimony,conservative_base,0.5308,0.323,0.0
expert_testimony,disengaged_voter,0.4975,0.3029,0.0
expert_testimony,impulse_buyer,0.5622,0.3423,0.0
expert_testimony,issue_activist,0.4932,0.3005,0.0
expert_testimony,liberal_base,0.4816,0.2931,0.0
expert_testimony,persuadable_moderate,0.4966,0.302,0.0
expert_testimony,price_hunter,0.4932,0.3005,0.0
expert_testimony,skeptical_researcher,0.4907,0.2991,0.0
expert_testimony,social_shopper,0.5198,0.3163,0.0
false_dilemma,brand_loyalist,0.4836,0.015,0.0611
false_dilemma,conservative_base,0.4849,0.0152,0.0623
false_dilemma,disengaged_voter,0.4837,0.0125,0.0611
false_dilemma,impulse_buyer,0.5666,0.0395,0.0971
false_dilemma,issue_activist,0.5,0.0193,0.1095
false_dilemma,liberal_base,0.4817,0.0143,0.0604
false_dilemma,persuadable_moderate,0.4897,0.0156,0.0611
false_dilemma,price_hunter,0.4899,0.0173,0.085
false_dilemma,skeptical_researcher,0.4945,0.0178,0.1062
false_dilemma,social_shopper,0.5093,0.0207,0.0535
false_equivalence,brand_loyalist,0.5014,0.1932,0.0
false_equivalence,conservative_base,0.5023,0.1936,0.0
false_equivalence,disengaged_voter,0.4889,0.1871,0.0
false_equivalence,impulse_buyer,0.5612,0.2234,0.0
false_equivalence,issue_activist,0.5009,0.1914,0.0
false_equivalence,liberal_base,0.4866,0.1852,0.0
false_equivalence,persuadable_moderate,0.5065,0.1948,0.0
false_equivalence,price_hunter,0.5009,0.1914,0.0
false_equivalence,skeptical_researcher,0.495,0.1885,0.0
false_equivalence,social_shopper,0.5339,0.2089,0.0
false_scarcity,brand_loyalist,0.4808,0.0,0.0145
false_scarcity,conservative_base,0.4832,0.0,0.0182
false_scarcity,disengaged_voter,0.4774,0.0,0.0145
false_scarcity,impulse_buyer,0.5977,0.0,0.0145
false_scarcity,issue_activist,0.5251,0.0,0.128
false_scarcity,liberal_base,0.482,0.0,0.0137
false_scarcity,persuadable_moderate,0.4971,0.0,0.0145
false_scarcity,price_hunter,0.4947,0.0,0.0357
false_scarcity,skeptical_researcher,0.5211,0.0,0.1222
false_scarcity,social_shopper,0.5163,0.0,0.0095
false_urgency,brand_loyalist,0.4888,0.0918,0.049
false_urgency,conservative_base,0.4905,0.0923,0.0512
false_urgency,disengaged_voter,0.5065,0.0982,0.049
false_urgency,impulse_buyer,0.6394,0.1435,0.049
false_urgency,issue_activist,0.4963,0.0928,0.1016
false_urgency,liberal_base,0.4858,0.0911,0.048
false_urgency,persuadable_moderate,0.501,0.0974,0.049
false_urgency,price_hunter,0.4719,0.0871,0.049
false_urgency,skeptical_researcher,0.4881,0.0905,0.0998
false_urgency,social_shopper,0.5197,0.1028,0.0401
fear_mongering,brand_loyalist,0.4793,0.0893,0.0827
fear_mongering,conservative_base,0.4813,0.0895,0.086
fear_mongering,disengaged_voter,0.4617,0.0854,0.0827
fear_mongering,impulse_buyer,0.507,0.099,0.115
fear_mongering,issue_activist,0.4984,0.093,0.0936
fear_mongering,liberal_base,0.476,0.0885,0.0817
fear_mongering,persuadable_moderate,0.4924,0.0939,0.0827
fear_mongering,price_hunter,0.4984,0.093,0.0936
fear_mongering,skeptical_researcher,0.4917,0.0914,0.0925
fear_mongering,social_shopper,0.4976,0.0952,0.0726
gain_frame,brand_loyalist,0.5412,0.1528,0.0
gain_frame,conservative_base,0.5412,0.1528,0.0
gain_frame,disengaged_voter,0.5332,0.1504,0.0
gain_frame,impulse_buyer,0.6313,0.1866,0.0183
gain_frame,issue_activist,0.5356,0.1499,0.0012
gain_frame,liberal_base,0.5493,0.157,0.0
gain_frame,persuadable_moderate,0.5443,0.1538,0.0
gain_frame,price_hunter,0.5335,0.1499,0.0
gain_frame,skeptical_researcher,0.5396,0.1527,0.0
gain_frame,social_shopper,0.5906,0.1699,0.0
gaslighting,brand_loyalist,0.5228,0.0,0.0496
gaslighting,conservative_base,0.5254,0.0,0.0574
gaslighting,disengaged_voter,0.505,0.0,0.0496
gaslighting,impulse_buyer,0.5633,0.0,0.1173
gaslighting,issue_activist,0.5381,0.0,0.0712
gaslighting,liberal_base,0.5199,0.0,0.0472
gaslighting,persuadable_moderate,0.533,0.0,0.0496
gaslighting,price_hunter,0.5297,0.0,0.0496
gaslighting,skeptical_researcher,0.532,0.0,0.0683
gaslighting,social_shopper,0.556,0.0,0.0335
guilt_tripping,brand_loyalist,0.5198,0.0251,0.0314
guilt_tripping,conservative_base,0.5212,0.0255,0.0345
guilt_tripping,disengaged_voter,0.5059,0.0229,0.0314
guilt_tripping,impulse_buyer,0.5625,0.0413,0.0882
guilt_tripping,issue_activist,0.5604,0.0371,0.0498
guilt_tripping,liberal_base,0.5572,0.0382,0.0294
guilt_tripping,persuadable_moderate,0.5239,0.0259,0.0314
guilt_tripping,price_hunter,0.5191,0.0232,0.0314
guilt_tripping,skeptical_researcher,0.5204,0.0232,0.0474
guilt_tripping,social_shopper,0.6048,0.0541,0.0175
logical_appeal,brand_loyalist,0.4824,0.3096,0.0
logical_appeal,conservative_base,0.4824,0.3096,0.0
logical_appeal,disengaged_voter,0.4804,0.3085,0.0
logical_appeal,impulse_buyer,0.5404,0.347,0.0
logical_appeal,issue_activist,0.5081,0.3259,0.0
logical_appeal,liberal_base,0.4836,0.3104,0.0
logical_appeal,persuadable_moderate,0.4958,0.3181,0.0
logical_appeal,price_hunter,0.5081,0.3259,0.0
logical_appeal,skeptical_researcher,0.5087,0.3265,0.0
logical_appeal,social_shopper,0.5215,0.3348,0.0
loss_frame,brand_loyalist,0.5023,0.2009,0.0325
loss_frame,conservative_base,0.5023,0.2009,0.0325
loss_frame,disengaged_voter,0.4969,0.1996,0.0325
loss_frame,impulse_buyer,0.6233,0.2948,0.0325
loss_frame,issue_activist,0.5022,0.1974,0.0325
loss_frame,liberal_base,0.5011,0.2005,0.032
loss_frame,persuadable_moderate,0.5133,0.2065,0.0325
loss_frame,price_hunter,0.5018,0.197,0.0325
loss_frame,skeptical_researcher,0.4991,0.196,0.032
loss_frame,social_shopper,0.5447,0.2342,0.0276
manipulative_flattery,brand_loyalist,0.5378,0.2292,0.0
manipulative_flattery,conservative_base,0.5382,0.2294,0.0
manipulative_flattery,disengaged_voter,0.5311,0.2259,0.0
manipulative_flattery,impulse_buyer,0.6015,0.2592,0.0
manipulative_flattery,issue_activist,0.529,0.2251,0.0
manipulative_flattery,liberal_base,0.5345,0.2276,0.0
manipulative_flattery,persuadable_moderate,0.5406,0.2305,0.0
manipulative_flattery,price_hunter,0.529,0.2251,0.0
manipulative_flattery,skeptical_researcher,0.5229,0.2223,0.0
manipulative_flattery,social_shopper,0.588,0.253,0.0
name_calling,brand_loyalist,0.4768,0.1688,0.019
name_calling,conservative_base,0.4774,0.1691,0.0203
name_calling,disengaged_voter,0.4666,0.1639,0.019
name_calling,impulse_buyer,0.5168,0.1882,0.038
name_calling,issue_activist,0.4863,0.1733,0.019
name_calling,liberal_base,0.4742,0.1676,0.0184
name_calling,persuadable_moderate,0.4931,0.1766,0.019
name_calling,price_hunter,0.4863,0.1733,0.019
name_calling,skeptical_researcher,0.4806,0.1707,0.0184
name_calling,social_shopper,0.5054,0.1827,0.0142
obfuscation,brand_loyalist,0.4858,0.1193,0.0
obfuscation,conservative_base,0.4871,0.1198,0.0
obfuscation,disengaged_voter,0.4688,0.1125,0.0
