weight_name,module,value,provenance,source_citation,sample_size,confidence_interval,domain,layer,last_calibration_date,flags
approach.certainty,circuit_predictor,0.15,CALIBRATED,A/B testing: testimonials adjacent to CTA increase conversion by +34% (aggregated industry data). Ba,,"[0.12, 0.18] — derived from +34% testimonial placement effect",universal,L2_circuit,,
approach.coping_potential,circuit_predictor,0.2,CONSTRAINED,A/B testing aggregates: reducing perceived effort consistently increases conversion. Shopify one-pag,,"[0.10, 0.25] — effect is consistent but smaller than valence/relevance",universal,L2_circuit,,
approach.goal_relevance,circuit_predictor,0.25,CONSTRAINED,"Falk et al. 2012: MPFC activation (self-relevance processing, overlaps with goal-relevance appraisal",,"[0.15, 0.30] — MPFC is strong but secondary to NAcc",universal,L2_circuit,,
approach.neg_agency_suppress,circuit_predictor,0.1,UNCALIBRATED,No direct neural measurement of agency's suppressive effect on approach. Theoretical: low agency (fe,,,universal,L2_circuit,,
approach.neg_valence_suppress,circuit_predictor,0.2,CONSTRAINED,Knutson 2007: insula activation (aversive signal) during price phase independently predicted NON-pur,,"[0.15, 0.25] — insula suppression was significant but not total",universal,L2_circuit,,
approach.novelty_penalty,circuit_predictor,0.15,UNCALIBRATED,Smith & Ellsworth 1985: extreme novelty (>0.7 on their scale) triggers threat appraisal rather than ,,,universal,L2_circuit,,
approach.novelty_x_coping,circuit_predictor,0.2,FITTED,"Fitted from Persuasion for Good (N=1,017, Ollama extraction). w=0.264 (largest interaction in Ollama",1017 (PFG),"[0.15, 0.30]",universal,L2_circuit,2026-03-27,
approach.somatic,circuit_predictor,0.1,CONSTRAINED,Berns & Moore 2012: averaged NAcc activation predicted song downloads 2 years later. Self-reported l,,"[0.05, 0.15] — contributes but doesn't dominate",universal,L2_circuit,,
approach.valence,circuit_predictor,0.3,CONSTRAINED,Knutson et al. 2007: NAcc activation (approach circuit proxy) was the strongest single predictor of ,,"[0.20, 0.40] — NAcc was strongest but not sole predictor",universal,L2_circuit,,
approach.valence_x_agency,circuit_predictor,0.14,FITTED,"Fitted from Persuasion for Good (N=1,017). Heuristic: w=0.136. Positive tone matters more when the r",1017 (PFG),"[0.08, 0.20]",universal,L2_circuit,2026-03-27,
approach.valence_x_goal_relevance,circuit_predictor,0.15,FITTED,"Fitted from Persuasion for Good dataset (Wang et al. 2019, N=1,017). Heuristic extraction: w=0.147. ",1017 (PFG),"[0.10, 0.25] — consistent across both extraction methods",universal,L2_circuit,2026-03-27,
avoidance.disgust,circuit_predictor,0.15,CONSTRAINED,"Knutson 2007: insula deactivation during purchase, activation during non-purchase (excessive price =",,"[0.10, 0.20] — distinct from valence, smaller but specific",universal,L2_circuit,,
avoidance.familiarity_suppress,circuit_predictor,0.1,CONSTRAINED,Bechara et al. 1997/2005: hippocampal familiarity reduces threat assessment. IGT data shows learning,,"[0.05, 0.15] — consistent small effect across literature",universal,L2_circuit,,
avoidance.neg_agency,circuit_predictor,0.2,CONSTRAINED,Craig 2009 (Nature Reviews Neuroscience): anterior insula detects authenticity violations and agency,,"[0.15, 0.25] — agency violation is a strong avoidance trigger",universal,L2_circuit,,
avoidance.neg_coping,circuit_predictor,0.2,CONSTRAINED,Smith & Ellsworth 1985: low coping potential + high goal relevance = FRUSTRATION (highest avoidance ,,"[0.15, 0.25] — consistently significant across appraisal literature",universal,L2_circuit,,
avoidance.neg_valence,circuit_predictor,0.3,CONSTRAINED,Knutson 2007: insula activation (avoidance proxy) was the primary neural predictor of NON-purchase d,,"[0.25, 0.35] — insula was primary avoidance predictor",universal,L2_circuit,,
avoidance.novelty_threat,circuit_predictor,0.15,UNCALIBRATED,LeDoux 1996: amygdala receives low-resolution fast signal from thalamus (bypasses cortex) and classi,,,universal,L2_circuit,,
avoidance.valence_suppress,circuit_predictor,0.25,CONSTRAINED,Knutson 2007: NAcc activation (positive valence) suppressed insula contribution to non-purchase pred,,"[0.20, 0.30] — suppression is strong (matches approach cross-suppression)",universal,L2_circuit,,
deliberation.circuit_conflict,circuit_predictor,0.1,UNCALIBRATED,"Theoretical: when approach and avoidance scores are similar (neither dominates), the ACC should dete",,,universal,L2_circuit,,
